title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
A Memory Worth Dying for,,['Joanie Bruce'],9781620202531,"['Christian Fiction', 'Christian', 'Mystery', 'Suspense', 'Romance']","Marti Rushing gets the message, loud and clear. If she returns to Texas, her life is in danger. If she stays in Tennessee, she's safe. But when she receives a letter telling her that Daniel, her ex-husband and the love of her life, is dying, she knows she has to defy the stalker and return to Texas to see him. Three years ago, Daniel accused her of things she couldn't remember doing. Without waiting for an explanation and after four wonderful years of marriage, Daniel kicks her off of his family's Quarter Horse ranch. Now, three years after their separation, he walks into her art reception in Tennessee and acts like he doesn't remember her. Does the memory loss have anything to do with the letter she received, or is Daniel pretending? Is he the one stalking her, or is it someone with a deadly, sinister motive? Ignoring the deadly warnings, she leaves for Texas, but on the way there, the attempts on her life begin. Will she be able to evade her pursuer's attacks? Or will Daniel's ....",397,2014,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400579550l/21432556.jpg,60,4.32,https://www.goodreads.com/book/show/2544.The_Madman
Tainted Pictures,Photographer Trilogy #2,['Sarah  Robinson'],1497433843,"['Romance', 'New Adult', 'Contemporary Romance', 'Mystery', 'Suspense', 'Romantic Suspense', 'Crime', 'Thriller', 'Mystery Thriller', 'Fiction']","The second installment of the bestselling romantic suspense series, The Photographer Trilogy, returns and The Photographer is back with Kate in his crosshairs…will she find out who he is in time to save the one person who matters most?The small, quiet life Kate Jackson had built for herself is over. The Photographer is back, haunting her at every turn with his menacing hints, reminding her that he owns her. Her romance with Derrick Kane is in shreds, their trust destroyed. Everything she’d ever worked for is crumbling through her fingers.But Kate is a fighter and refuses to allow a sadistic killer to take everything from her yet again. She delves into the police investigation targeting The Photographer to finally reveal his true identity, but Kate quickly learns that finding the face behind the mask doesn’t always make you safe.Monsters are only uglier in the light of day.Trigger Warning: Due to violent and dark subject matter, this book is intended for 18+ years old. This book does contain triggers for violence and abuse. This is the second book in a trilogy and ends on a cliffhanger. The next book, Untainted, is available on all retailers.",330,2014,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395151415l/20975446.jpg,308,4.26,https://www.goodreads.com/book/show/2544.The_Madman
The Song of the Dodo: Island Biogeography in an Age of Extinctions,,['David Quammen'],9780684827124,"['Science', 'Nonfiction', 'Environment', 'Nature', 'Biology', 'History', 'Natural History', 'Evolution', 'Animals', 'Ecology']","David Quammen's book,The Song of the Dodo, is a brilliant, stirring work, breathtaking in its scope, far-reaching in its message -- a crucial book in precarious times, which radically alters the way in which we understand the natural world and our place in that world. It's also a book full of entertainment and wonders.InThe Song of the Dodo, we follow Quammen's keen intellect through the ideas, theories, and experiments of prominent naturalists of the last two centuries. We trail after him as he travels the world, tracking the subject of island biogeography, which encompasses nothing less than the study of the origin and extinction of all species. Why is this island idea so important? Because islands are where species most commonly go extinct -- and because, as Quammen points out, we live in an age when all of Earth's landscapes are being chopped into island-like fragments by human activity.Through his eyes, we glimpse the nature of evolution and extinction, and in so doing come to understand the monumental diversity of our planet, and the importance of preserving its wild landscapes, animals, and plants. We also meet some fascinating human characters. By the book's end we are wiser, and more deeply concerned, but Quammen leaves us with a message of excitement and hope.",702,1996,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348638349l/546725.jpg,"7,797",4.27,https://www.goodreads.com/book/show/2544.The_Madman
Love & Misadventure,,['Lang Leav'],9780473235505,"['Poetry', 'Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Love', 'Adult', 'Audiobook']","Lang Leav is a poet and internationally exhibiting artist. Awarded a coveted Churchill Fellowship, her work expresses the intricacies of love and loss.Beautifully illustrated and thoughtfully conceived, Love and Misadventure will take you on a rollercoaster ride through an ill-fated love affair- from the initial butterflies to the soaring heights- through to the devastating plunge. Lang Leav has an unnerving ability to see inside the hearts and minds of her readers. Her talent for translating complex emotions with astonishing simplicity has won her a cult following of devoted fans from all over the world.",176,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370084153l/18003300.jpg,"49,439",3.96,https://www.goodreads.com/book/show/2544.The_Madman
Look Back in Anger,,['John Osborne'],9780140481754,"['Plays', 'Drama', 'Classics', 'Fiction', 'Theatre', 'Academic', 'School', 'European Literature', 'British Literature', 'Literature', '20th Century', 'English Literature', 'Read For School']","Electrifying in its urgency, cauterizing in its wit, this play blasted a gaping hole in the conventions of British drama.Jimmy Porter plays trumpet badly. He browbeats his flatmate, terrorizes his wife, and is not above sleeping with her best friend-who loathes Jimmy almost as much as he loathes himself. Yet this working-class Hamlet, the original Angry Young Man, is one of the most mesmerizing characters ever to burst onto a stage, a malevolently vital, volcanically articulate internal exile in the dreary, dreaming Siberia of postwar England.First produced in 1956,Look Back in Angerlaunched a revolution in the English theater. Savagely, sadly, and always impolitely, it compels readers and audiences to acknowledge the hidden currents of rottenness and rage in what used to be called ""the good life.""",96,1957,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942558l/859495.jpg,"11,519",3.55,https://www.goodreads.com/book/show/2544.The_Madman
Kira-Kira,,['Cynthia Kadohata'],9780689856402,"['Young Adult', 'Historical', 'Historical Fiction', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Family', 'Death', 'Juvenile']","kira-kira (kee ra kee ra): glittering; shiningGlittering. That's how Katie Takeshima's sister, Lynn, makes everything seem. The sky iskira-kirabecause its color is deep but see-through at the same time. The sea iskira-kirafor the same reason and so are people's eyes. When Katie and her family move from a Japanese community in Iowa to the Deep South of Georgia, it's Lynn who explains to her why people stop on the street to stare, and it's Lynn who, with her special way of viewing the world, teaches Katie to look beyond tomorrow, but when Lynn becomes desperately ill, and the whole family begins to fall apart, it is up to Katie to find a way to remind them all that there is always something glittering --kira-kira-- in the future.",291,2004,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437825008l/89731._SY475_.jpg,"24,315",3.94,https://www.goodreads.com/book/show/2544.The_Madman
Dangerous Ways,The Books of Winter #1,['R.R. Virdi'],0998104922,"['Fantasy', 'Urban Fantasy', 'Epic Fantasy', 'Fiction', 'Paranormal']","From the Dragon Award-nominated author, R.R. Virdi.Jonathan Hawthorne has lived over a century beholden to one rule: do not meddle in mortal affairs. He's broken it twice. So when he crosses paths with Cassidy Winters, he's forced to interfere again.Strike three. And the third time's not the charm.Hawthorne is swept along as Cassidy slips through the cracks in reality.And being hunted by bands of monsters doesn't help.To find the answers they need, they'll have to play in a dangerous world. One where the odds and rules are stacked against them. They will have to navigate magical courts, queens and lords all while trying to keep Cassidy out of their scheming hands.If they fail, she will end up a pawn in a plot that will consume them all.Hawthorne will have to face the consequences of his past, and risk his future to ensure Cassidy can have one of her own.For a man with all the time in the world--it seems to be running out--fast!Also by the author: The Dragon Award-nominated urban fantasy series, The Grave Report. (Ongoing)Book one: Grave Beginnings.Book two: Grave Measures.",558,2016,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481691775l/33384094._SY475_.jpg,821,4.71,https://www.goodreads.com/book/show/2544.The_Madman
Project Terror,,['Jamal Lewis'],9781939665201,"['Thriller', 'Mystery Thriller', 'Fiction']","In a street war, there's always a body to be discovered.Lamar Dunken is a dedicated monster who presents the perfect image of a street terrorist. He knows how to respond when a desperate crisis threatens his operation, and he exacts horrifying tactics to get things under control.FBI Special Agent Livingston is faced with the serious task of investigating Lamar's tactics while connecting killings start to terrorize Philadelphia and the surrounding suburbs. Also, a violent criminal locked behind bars a year before Lamar was even born is back on the streets and looking for him. Lamar is forced to call on his deepest strength to face his accusers and ensure that the values that he holds most dear will survive.The nightmare has begun.Again.And, over again.",240,2017,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495892187l/35152052.jpg,31,4.16,https://www.goodreads.com/book/show/2544.The_Madman
عقاید یک دلقک,,"['Heinrich Böll', 'محمد اسماعیل\u200cزاده']",9780140187267,"['Fiction', 'European Literature', 'German Literature', 'Novels', 'Classics', 'Cultural', 'Germany', 'Literature', '20th Century', 'Nobel Prize', 'Literary Fiction', 'Unfinished']",,353,1963,Persian,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394632139l/326272.jpg,"24,074",3.97,https://www.goodreads.com/book/show/2544.The_Madman
Revel,,['Michael Indemaio'],9780971350328,['Poetry'],,218,2016,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474488250l/32149989.jpg,41,4.83,https://www.goodreads.com/book/show/2544.The_Madman
Swing Time,,['Zadie Smith'],9780241144152,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Audiobook', 'Cultural', 'Africa', 'European Literature', 'British Literature', 'Race', 'Adult Fiction', 'Adult']","Two brown girls dream of being dancers—but only one, Tracey, has talent. The other has ideas: about rhythm and time, about black bodies and black music, about what constitutes a tribe, or makes a person truly free. It's a close but complicated childhood friendship that ends abruptly in their early twenties, never to be revisited, but never quite forgotten, either.Dazzlingly energetic and deeply human, Swing Time is a story about friendship and music and stubborn roots, about how we are shaped by these things and how we can survive them. Moving from northwest London to West Africa, it is an exuberant dance to the music of time.",453,2016,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514344635l/28390369._SY475_.jpg,"66,866",3.56,https://www.goodreads.com/book/show/2544.The_Madman
The Invisible Life of Addie LaRue,,['V.E. Schwab'],9780765387561,"['Fantasy', 'Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Adult', 'Audiobook', 'LGBT', 'Magical Realism', 'Paranormal']","A Life No One Will Remember. A Story You Will Never Forget.France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever and is cursed to be forgotten by everyone she meets.Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world.But everything changes when, after nearly 300 years, Addie stumbles across a young man in a hidden bookstore and he remembers her name.",442,2020,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584633432l/50623864.jpg,"407,762",4.25,https://www.goodreads.com/book/show/2544.The_Madman
